Category,Product name,Qty. Sold,Revenue,Date,Day,Month,Year,Weekday,Document Number,Transaction Type,Source File
Main,Meal For One:Options:Ramen (KR),4.0,95.96,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Meal For One:Options:Ramen (KR),2.0,47.98,2025-03-24,24,3,2025,Monday,4183503.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Meal For One:Options:Ramen (KR),1.0,23.99,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For Two:Combo (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For Two:Combo (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For Two:Combo (KR),3.0,0.0,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Meal For Two:Options:1st Ramen (KR),1.0,41.99,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Meal For Two:Options:1st Ramen (KR),2.0,83.98,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Meal For Two:Options:1st Ramen (KR),3.0,125.97,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Meal For Two:Options:2nd Ramen (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Meal For Two:Options:2nd Ramen (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
